19.1,1.5355,-0.4882,1.1045,-0.30101,0.27281,-0.53551,0.11095,-0.47368,1.7187,1.6171,0.86032,0.12205,0.76538
20.5,-0.40894,0.44063,-0.72283,-0.30101,-0.99443,-0.10118,0.40367,1.9432,-0.26128,-0.41035,0.32975,0.20463,-0.34109
23.4,-0.40909,-0.4882,0.016179,-0.30101,-1.1475,-0.073676,-2.2023,0.64334,-0.6107,-0.5612,0.37799,0.21613,-0.70298
20,-0.42147,-0.4882,-0.7079,-0.30101,-0.41609,-0.65856,-0.23175,-0.25323,-0.49423,-0.71808,0.37799,0.22048,-0.16638
23.9,-0.42611,-0.4882,0.18339,-0.30101,0.21328,0.98462,0.8249,-0.82158,-0.96011,-0.75429,1.2462,0.4363,-0.96642
23.8,-0.4126,-0.4882,-0.4959,-0.30101,-0.46712,0.18837,-0.5566,0.29263,-0.49423,-0.66981,0.57092,0.4363,-0.75012
33,-0.43132,0.25065,-1.3917,-0.30101,-1.1212,1.1699,-0.29958,2.4913,-0.72717,-1.0982,0.088588,0.39546,-0.63226
22.6,0.10498,-0.4882,1.1045,-0.30101,1.8888,-0.26623,0.47864,-0.66118,1.7187,1.6171,0.86032,0.36756,0.0083239
20.4,-0.41728,-0.4882,-0.10326,-0.30101,-0.0078529,-0.61368,0.18591,-0.67602,-0.37775,0.20511,-0.29728,-0.21396,0.38269
13.3,0.80822,-0.4882,1.1045,-0.30101,1.0468,0.72114,1.1033,-1.2017,1.7187,1.6171,0.86032,0.4363,1.1966
13.4,-0.013901,-0.4882,1.3255,3.3111,2.7478,-1.2927,1.1462,-1.2188,-0.49423,0.03013,-1.7925,0.4363,1.9703
19.8,-0.42804,-0.4882,-1.114,-0.30101,-0.74779,-0.2199,-1.2741,0.91864,-0.6107,0.19305,-0.73137,0.12016,-0.48806
22.9,-0.42594,1.2006,-1.4111,-0.30101,-1.0114,0.28102,-0.83861,2.289,-0.96011,-0.38018,0.61915,0.4363,-0.91928
19.6,-0.32606,-0.4882,-0.38244,-0.30101,-0.084398,-0.47904,0.76065,0.044658,-0.6107,-0.54913,1.2462,0.38754,0.16916
20.3,-0.38961,-0.4882,-0.11968,-0.30101,-0.033368,-0.46891,0.31443,-0.38254,-0.6107,-0.56723,-0.0078781,0.42894,-0.36604
11.8,0.91547,-0.4882,1.1045,-0.30101,1.6336,0.23614,0.96055,-0.90591,1.7187,1.6171,0.86032,-3.5124,1.5765
19.6,-0.42073,0.56729,-0.83182,-0.30101,-0.80732,-0.53406,-0.73866,1.4156,-0.14481,-0.68791,0.61915,0.4363,-0.47004
14.6,0.85999,-0.4882,1.1045,-0.30101,0.56198,-0.16054,1.0284,-0.82017,1.7187,1.6171,0.86032,0.24436,0.75151
17.2,1.3427,-0.4882,1.1045,-0.30101,0.4174,0.52279,1.1462,-1.1221,1.7187,1.6171,0.86032,-3.6018,1.1938
23.9,-0.42739,-0.4882,-0.92736,-0.30101,-0.84134,0.1348,-0.7101,0.40485,-0.72717,-0.91117,0.040355,0.4363,-0.41457
19.3,-0.41212,-0.4882,-0.56607,-0.30101,-0.84985,-0.88875,-1.217,0.55558,-0.72717,-0.99564,-0.24904,0.4363,-0.33277
28.7,-0.42492,-0.4882,0.47601,-0.30101,0.017662,0.50108,0.61429,-0.23294,-0.49423,-0.73618,-0.97254,0.39033,-0.40487
18.8,-0.4182,-0.4882,-0.10326,-0.30101,-0.0078529,-0.55433,0.89273,-0.73429,-0.37775,0.20511,-0.29728,0.41454,0.49916
34.9,-0.42954,2.6783,-1.1573,-0.30101,-1.0199,1.0541,-1.8596,0.69678,-0.72717,-0.881,-0.056111,0.42202,-1.4739
