125,7070,903,0.106,0.04,0.46,0.008,0.001,8.96,0.47,1.84,0.06,0.05,0.2,0.069,0.051,0.007,0.001,0.015,0.0003,0.005,1338,2,1,1043,2,1,1013,4,1,0.0003
70,15090,873,0.101,0.29,0.48,0.001,0.004,9.01,0.1,0.99,0.2,0.05,0.01,0.005,0.001,0.005,0.0003,0.015,0.0003,0.011,1223,1,3,1023,1,1,0,2,1,0.0003
294,6441,723,0.12,0.41,0.46,0.02,0.004,12.1,0.04,0.01,0.23,0.06,0.01,0.005,0.0137,0.032,0.0003,0.05,0.0003,0.01,1223,1.5,2,923,2,1,0,2,1,0.0003
88,20108,823,0.12,0.21,0.66,0.028,0.003,11.8,0.13,0.01,0.41,0.1,0.01,0.005,0.0393,0.002,0.0003,0.05,0.0003,0.01,1243,0.5,2,1023,1,3,0,2,1,0.0003
196,321,873,0.008,0.076,0.49,0.002,0.001,9.11,0.48,1.38,0.2,0.05,0.236,0.312,0.1171,0.002,0.0003,0.015,0.0003,0.0174,1453,1,1,1073,2,1,0,2,1,0.0003
41,32859,873,0.14,0.21,0.53,0.012,0.012,2.4,1.01,0.01,0.14,0.16,0.01,0.005,0.0108,0.018,0.0003,0.05,0.0003,0.01,1203,6,3,908,6,1,873,2,1,0.0003
243,375,823,0.1,0.24,0.45,0.004,0.001,8.84,0.95,0.01,0.04,0.01,0.21,0.079,0.055,0.011,0.0003,0.015,0.0003,0.01,1338,1,1,933,3,1,913,8.4,1,0.0003
176,16160,773,0.12,0.5,0.61,0.016,0.014,11.64,0.18,0.01,0.43,0.08,0.01,0.005,0.0264,0.044,0.0003,0.05,0.0003,0.01,1253,0.5,2,923,2,1,903,2,1,0.0003
131,253,922,0.0595,0.06,0.345,0.0065,0.009,8.585,0.995,0.01,0.05,0.02,0.12,0.08,0.053,0.0065,0.001,0.015,0.0003,0.011,1311,1,1,1033,1,1,0,2,1,0.0003
412,503,723,0.14,0.25,0.55,0.01,0.009,2.44,1.03,0.01,0.18,0.13,0.01,0.005,0.0102,0.018,0.0003,0.05,0.0003,0.01,1203,6,3,908,6,1,873,2,1,0.0003
78,2353,873,0.14,0.21,0.53,0.012,0.012,2.4,1.01,0.01,0.14,0.16,0.01,0.005,0.0108,0.018,0.0003,0.05,0.0003,0.01,1203,6,3,908,6,1,873,2,1,0.0003
29,408,973,0.12,0.86,0.49,0.015,0.002,8.89,1,0.01,0.047,0.05,0.01,0.005,0.018,0.009,0.0003,0.1,0.0003,0.01,1183,0.17,0,993,1.17,1,0,2,1,0.0003
127,1.1831e+05,778,0.1,0.13,0.48,0.014,0.012,2.28,0.99,0.01,0.062,0.08,0.01,0.005,0.008,0.006,0.0003,0.05,0.0003,0.01,1203,0.3,1,893,2.2,1,0,2,1,0.0003
78,241,923,0.12,0.33,0.5,0.01,0.005,2.17,1,0.01,0.07,0.06,0.01,0.005,0.008,0.004,0.0003,0.05,0.0003,0.01,1183,1.2,1,983,1.2,1,0,2,1,0.0003
137,5282,823,0.08,0.42,0.54,0.018,0.007,2.28,0.96,0.01,0.03,0.03,0.01,0.005,0.0069,0.001,0.0003,0.05,0.0003,0.01,1173,1.2,3,905,1.25,1,923,1.5,0,0.0003
212,4,923,0.082,0.32,0.64,0.015,0.014,11.97,2.04,0.01,1.32,0.05,0.24,0.005,0.024,0.04,0.0003,0.015,0.0003,0.009,1273,1,1,973,1,1,0,2,1,0.0003
177,45683,823,0.21,0.41,0.6,0.026,0.009,12.9,0.93,0.93,0.67,0.13,0.21,0.005,0.021,0.023,0.0003,0.15,0.0003,0.01,1303,1,2,903,2,1,0,2,1,0.0003
